Matricula,Marca,Modelo,Color,Notas,Etiqueta,TarjetaIdentificacion,Telefono,Email,CodigoAcreditacion,FechaInicioAcreditacion,FechaFinAcreditacion,DNI_Titular,Estado
4036CAR,Nissan,Nissan SUV,Azul,Mantenimiento programado,CSVModificacion,517477TRJ,+34 652 489 559,vehiculo899980@gmail.com,47812ACR,2024-09-05,2025-11-03,60784893X,Pendiente
2398CAR,Seat,Seat Sedan,Negro,Mantenimiento programado,CSVModificacion,463913TRJ,+34 654 582 294,vehiculo683581@outlook.com,78417ACR,2024-09-02,2025-08-13,41098696L,En revisión
1251CAR,Volkswagen,Volkswagen SUV,Gris,,CSVModificacion,165016TRJ,+34 767 304 151,vehiculo663535@outlook.com,39706ACR,2024-05-05,2025-10-05,17854650A,En revisión
1242CAR,Toyota,Toyota Sport,Plata,En buen estado,CSVModificacion,114797TRJ,+34 744 122 864,vehiculo73541@gmail.com,26993ACR,2024-09-11,2025-11-13,30859277Q,Inactivo
1581CAR,Toyota,Toyota Sport,Verde,Mantenimiento programado,CSVModificacion,158354TRJ,+34 685 786 556,vehiculo409336@gmail.com,81765ACR,2024-10-19,2025-08-30,87497770C,En revisión
9179CAR,Volkswagen,Volkswagen Compact,Verde,En buen estado,CSVModificacion,622811TRJ,+34 610 581 760,vehiculo980524@gmail.com,13170ACR,2024-11-21,2025-06-04,90972374Z,En revisión
2821CAR,Toyota,Toyota Coupe,Verde,En buen estado,CSVModificacion,164309TRJ,+34 600 737 361,vehiculo994379@hotmail.com,40610ACR,2024-10-01,2025-08-10,66226833N,En revisión
8882CAR,Audi,Audi Sedan,Gris,Nuevo,CSVModificacion,032781TRJ,+34 657 293 955,vehiculo624687@gmail.com,01178ACR,2024-06-24,2025-11-15,37874727Y,En revisión
6920CAR,Peugeot,Peugeot Compact,Gris,Nuevo,CSVModificacion,079046TRJ,+34 742 802 298,vehiculo560239@live.es,05257ACR,2025-04-25,2025-08-05,67788704E,Inactivo
3400CAR,Renault,Renault SUV,Rojo,En buen estado,CSVModificacion,845348TRJ,+34 691 804 225,vehiculo86152@gmail.com,00259ACR,2024-01-13,2025-09-05,18049004F,Pendiente
9048CAR,Ford,Ford Sedan,Verde,,CSVModificacion,081526TRJ,+34 775 100 869,vehiculo761783@outlook.com,50334ACR,2024-04-18,2025-10-29,29952077M,En revisión
9388CAR,Renault,Renault Sedan,Blanco,,CSVModificacion,215861TRJ,+34 749 634 460,vehiculo176316@hotmail.com,25120ACR,2024-07-03,2025-07-20,98859385A,Activo
0557CAR,Mercedes,Mercedes SUV,Negro,En buen estado,CSVModificacion,412009TRJ,+34 651 911 334,vehiculo507868@live.es,09593ACR,2024-01-13,2025-12-11,10778150M,Pendiente
3208CAR,Seat,Seat Sport,Rojo,,CSVModificacion,418006TRJ,+34 614 564 820,vehiculo901294@hotmail.com,89651ACR,2024-09-08,2025-10-12,78966044Y,Activo
6163CAR,Volkswagen,Volkswagen SUV,Azul,Mantenimiento programado,CSVModificacion,646174TRJ,+34 789 144 662,vehiculo18585@hotmail.com,12020ACR,2024-04-22,2025-10-27,85735408X,Activo
2577CAR,Nissan,Nissan SUV,Gris,Requiere revisión,CSVModificacion,815883TRJ,+34 748 610 276,vehiculo467581@hotmail.com,67458ACR,2024-11-22,2025-06-15,30505117X,Activo
1652CAR,Renault,Renault Sport,Blanco,En buen estado,CSVModificacion,255018TRJ,+34 689 806 454,vehiculo586325@gmail.com,41256ACR,2024-10-09,2025-08-15,25489921X,Pendiente
0365CAR,Peugeot,Peugeot Compact,Rojo,En buen estado,CSVModificacion,902098TRJ,+34 656 237 910,vehiculo900438@gmail.com,71153ACR,2025-01-22,2025-07-14,19966854W,Pendiente
9765CAR,Ford,Ford Sport,Verde,En buen estado,CSVModificacion,451185TRJ,+34 607 702 149,vehiculo949447@gmail.com,77983ACR,2024-04-26,2025-12-23,80520695H,Pendiente
8779CAR,Toyota,Toyota SUV,Verde,En buen estado,CSVModificacion,644630TRJ,+34 657 160 270,vehiculo177276@hotmail.com,02606ACR,2024-08-28,2025-10-30,27392123C,Pendiente
4598CAR,Toyota,Toyota Sport,Negro,,CSVModificacion,503242TRJ,+34 634 756 768,vehiculo810469@live.es,56461ACR,2024-05-14,2025-12-28,38548441G,Pendiente
4942CAR,Seat,Seat Coupe,Gris,,CSVModificacion,800956TRJ,+34 763 518 679,vehiculo71827@gmail.com,66633ACR,2024-05-06,2025-06-29,62865210T,En revisión
7094CAR,BMW,BMW Compact,Negro,Nuevo,CSVModificacion,633892TRJ,+34 742 402 325,vehiculo510154@gmail.com,89078ACR,2024-10-10,2025-07-13,48780326V,Inactivo
6842CAR,Seat,Seat Coupe,Rojo,En buen estado,CSVModificacion,413776TRJ,+34 776 850 672,vehiculo422715@gmail.com,79684ACR,2025-02-13,2025-06-10,85872312H,Inactivo
1386CAR,Peugeot,Peugeot Coupe,Azul,,CSVModificacion,616036TRJ,+34 773 347 203,vehiculo359156@live.es,45498ACR,2024-03-15,2025-07-24,38313263R,En revisión
